-30,60,-2.6066e-21,4.3324e-22,1.4247e-21,-6.0947e-22
-29.999,59.964,-0.016,0.012799,-0.3613,-0.16
-29.99,59.855,-0.064,0.076764,-0.72424,-0.32
-29.96,59.682,-0.11279,0.22497,-1.0132,-0.16793
-29.875,59.587,-0.14504,0.61912,0.066036,-0.15456
-29.723,59.589,-0.16264,0.90549,-0.048403,-0.021448
-29.499,59.643,-0.16132,1.331,0.59433,0.034705
-29.183,59.882,-0.15438,1.834,1.7933,0.034705
-28.768,60.361,-0.14743,2.3151,2.9957,0.034705
-28.259,61.081,-0.14049,2.7742,4.2014,0.034705
-27.66,62.042,-0.13355,3.2113,5.4102,0.034705
-26.976,63.245,-0.12661,3.6264,6.622,0.034705
-26.212,64.691,-0.11967,4.0194,7.8365,0.034705
-25.371,66.38,-0.11273,4.3904,9.0537,0.034705
-24.464,68.26,-0.10502,4.6803,9.7448,0.042393
-23.528,70.013,-0.096542,4.6803,7.7836,0.042393
-22.592,71.373,-0.088063,4.6803,5.8224,0.042393
-21.656,72.341,-0.079584,4.6803,3.8612,0.042393
-20.72,72.918,-0.071106,4.6803,1.9,0.042393
-19.783,73.101,-0.062627,4.6803,-0.061221,0.042393
-18.847,72.893,-0.054148,4.6803,-2.0224,0.042393
-17.911,72.293,-0.04567,4.6803,-3.9836,0.042393
-16.975,71.3,-0.037191,4.6803,-5.9448,0.042393
-16.039,69.915,-0.028713,4.6803,-7.906,0.042393
-15.103,68.137,-0.020234,4.6803,-9.8672,0.042393
-14.167,65.968,-0.011755,4.6803,-11.828,0.042393
-13.231,63.406,-0.0032767,4.6803,-13.79,0.042393
-12.295,60.452,0.005202,4.6803,-15.751,0.042393
-11.359,57.106,0.013681,4.6803,-17.712,0.042393
-10.423,53.367,0.022159,4.6803,-19.673,0.042393
-9.4868,49.242,0.030113,4.679,-21.582,0.037142
-8.5619,45.049,0.037541,4.5707,-20.345,0.037142
-7.6609,41.103,0.04497,4.4388,-19.109,0.037142
-6.7887,37.405,0.052398,4.283,-17.874,0.037142
-5.9501,33.954,0.059826,4.1036,-16.64,0.037142
-5.1497,30.749,0.067255,3.9004,-15.408,0.037142
-4.3923,27.79,0.074683,3.6735,-14.177,0.037142
-3.6827,25.078,0.082111,3.4229,-12.948,0.037142
-3.0255,22.611,0.08954,3.1486,-11.721,0.037142
-2.4256,20.389,0.096968,2.8506,-10.496,0.037142
-1.8877,18.412,0.1044,2.5289,-9.2738,0.037142
-1.4164,16.679,0.11183,2.1837,-8.0537,0.037142
-1.0166,15.19,0.11925,1.8148,-6.8362,0.037142
-0.69286,13.945,0.12668,1.4223,-5.6216,0.037142
-0.44375,12.898,0.12975,1.0688,-4.8413,-0.0064381
-0.25402,11.929,0.11607,0.82849,-4.8571,-0.13042
-0.12123,11.079,0.089983,0.49943,-3.6356,-0.13042
-0.04594,10.475,0.0639,0.25348,-2.4065,-0.13042
-0.011511,10.117,0.037816,0.090815,-1.1721,-0.13042
-0.0012147,10,0.012387,0.012147,5.8901e-15,-0.12387
-3.606e-21,10,1.0962e-21,-4.6962e-21,3.0133e-21,2.3512e-21
